image_name,date,street,block,parcel,text_en,text_es,ad_product,ad_company,business_name,establishment_kind,open_space_kind,street_art,notes,notes2
street_views_000316,2019-04-01,"W Slauson Ave, North",3400,56230,"louisiana fried chicken, we are open during construction, we buy gold, western union, loans, checks cashed, ",oro y plata,,,"louisiana fried chicken, checks cashed","fast food, financial services",parking lot,,,
street_views_000317,2019-04-01,"W Slauson Ave, South",3300,22662,"Mac auto service and transmission, arco, tires, oil change special, new and used tires, general mechanic, tune up, now open, right here, fitness 19, join today",,fitness 19,,"arco, mac auto service and transmission","automotive services, gas station",parking lot,,,
street_views_000318,2019-04-01,"W Slauson Ave, North",3300,56231,us bank,,,,us bank,bank,parking lot,,,
street_views_000319,2019-04-01,"W Slauson Ave, North",3300,56231,,,,,,residential,,,,
street_views_000320,2019-04-01,"W Slauson Ave, South",3300,22662,"ralphs, rite aid, viva bargain center, fitness 19, metropcs,burger king, pizza 8,  ",,,,"ralphs, rite aid, viva bargain center, fitness 19, metropcs,burger king, pizza 8,","grocery store, gym, cellular service, fast food, thrift store, restaurant",parking lot,,,
street_views_000321,2019-04-01,"W Slauson Ave, South",3300,22662,"popeyes louisiana kitchen, now accepting ebt",,,,popeyes,fast food ,parking lot,,,
street_views_000322,2019-04-01,"W Slauson Ave, South",3200,22662,"t mobile, rainbow, for lease, ",,,,"rainbow, t mobile","cellular service, clothing store",parking lot,,,
street_views_000323,2019-04-01,"W Slauson Ave, North",3200,40503,,,,,,residential,,,,
street_views_000324,2019-04-01,"W Slauson Ave, North",3200,40503,,,,,,residential,,,,
street_views_000325,2019-04-01,"W Slauson Ave, South",3200,40495,,,,,,residential,,,,
street_views_000326,2019-04-01,"W Slauson Ave, South",3200,40495,,,,,,residential,,,,
street_views_000327,2019-04-01,"W Slauson Ave, South",3100,40495,,,,,,residential,,,,
street_views_000328,2019-04-01,"W Slauson Ave, North",3100,40504,,,,,,residential,,,,
street_views_000329,2019-04-01,"W Slauson Ave, North",3100,40504,,,,,,residential,,,,
street_views_000330,2019-04-01,"W Slauson Ave, North",3100,40504,"get paid to test marijuana, high jobs",,highjobs,,,residential,,,,
street_views_000331,2019-04-01,"W Slauson Ave, South",3100,40495,,,,,,residential,,,,
street_views_000332,2019-04-01,"W Slauson Ave, South",3000,40495,,,,,,residential,,,,
street_views_000333,2019-04-01,"W Slauson Ave, North",3000,40505,"slauson and 9th ave, dental center, insurance plans welcome, medical accepted, sleep",,,,slauson and 9th ave dental center,dentist,,,,
street_views_000334,2019-04-01,"W Slauson Ave, South",3000,13271,"la smoke shop, tobacco, open 24 hours, market the corner, ",,,,smoke shop,smoke shop,parking lot,,,
street_views_000335,2019-04-01,"W Slauson Ave, North",3000,40505,"tec master, diagnostic",,,,tecmaster,automotive services,parking lot,,,
street_Views_000336,2019-04-01,"W Slauson Ave, South",3000,13721,"highpe crenshaw, accident lawyer, new, used, tire shop",la boringuena,accidentlawyer.com,,"la boringuena tire shop, highpe crenshaw","automotive services, dispensary",parking lot,,,
street_views_000337,2019-04-01,"W Slauson Ave, North",3000,13283,"an auto center, tap across LA",,LA Metro,,auto center,automotive services,parking lot,,,
street_views_000338,2019-04-01,"W Slauson Ave, South",2900,13272,"home of the luminaries, lighting the pathway to the 21st century education, islah academy",,,,islah academy,school,parking lot,,,
street_views_000339,2019-04-01,"W Slauson Ave, South",2800,13272,,,,,,,,,construction,
street_views_000340,2019-04-01,"W Slauson Ave, North",2800,13284,"slauson liquor, we cash atm ebt card here, tax refund, we have cash, discount liquor",,,,slauson liquor,liquor store,parking lot,,,
street_views_000341,2019-04-01,"W Slauson Ave, South",2800,13274,"zumba, that shave parlor, luis enrique",,,,"the shave parlor, zumba fitness","barber shop, dance studio",,handpainted signs,,
street_views_000342,2019-04-01,"W Slauson Ave, North",2800,13284,,,,,,,car lot,,,
street_views_000343,2019-04-01,"W Slauson Ave, South",2800,13274,new greater hope baptist church,,,,new greater hope baptist church,church,,,,
street_views_000344,2019-04-01,"W Slauson Ave, North",2700,13280,marcus garvey school,,,,marcus garvey school,school,,,,
street_views_000345,2019-04-01,"W Slauson Ave, South",2700,13276,"trf, free preschool, training research foundation",,,,training research foundation,day care,,,,
street_views_000346,2019-04-01,"W Slauson Ave, South",2700,13276,,,,,,,,street art,,
street_views_000347,2019-04-01,"W Slauson Ave, North",2700,13280,,,,,,,open lot,,,
street_views_000348,2016-12-01,"W Slauson Ave, South",2700,13276,"tire shop, auto repair, new and used tires, open 7 days, 3 brothers towing auto repair and body shop",,,,3 brother towing and auto repair body shop,automotive services,car lot,handpainted signs,,
street_views_000349,2017-01-01,"W Slauson Ave, North",2600,56216,"come worship with us at, new life in christ church, for god so love the world the he gave his only begotten son, that who so ever believed in him should not perish but have everlasting life",,,,new life in christ church,church,,handpainted signs,,
street_views_000350,2017-06-01,"W Slauson Ave, South",2600,56207,"house of david community church inc, alfredos appliances, refrigerators, washers, dryers, stoves, sales and repair",,,,"alfredos appliances, house of david","church, appliance store",,,,
street_views_000351,2017-06-01,"W Slauson Ave, North",2600,56216,"beelieve, body and bath products, 100% natural",,,,beelieve,bath products,,,,
street_views_000352,2017-06-01,"W Slauson Ave, South",2600,56207,"flores beauty salon, zumba fitness studio",,,,"zumba fitness studio, flores beauty salon","beauty salon, fitness studio",,handpainted signs,,
street_views_000353,2017-06-01,"W Slauson Ave, North",2600,56217,"smoke shop, car wash, under new management, snack shop, unit a, auto detail, details, 100% car wash, ",,,,car wash,car wash,parking lot,handpainted signs,,
